Question_ID,Question,KC,label
I,"Question: Ava and Shannon are baking pies for a bake sale. Ava baked 14 apple pies and 8 blueberry pies. Shannon baked 12 apple pies and 4 blueberry pies. Who baked a higher ratio of apple pies to blueberry pies?
Solution: 14/8(Ava) &lt; 12/4(Shannon)
Steps: 14/8(Ava) &lt; 12/4(Shannon)",3.NF.A.3,15
1470,"Question: Two angles of a triangle are the same size. The third angle is 3 times as large as the first. How large are the angles?
Solution: 36 (degrees); 36 (degrees); 108 (degrees)
Steps: x:The first angle of a triangle; y:The second angle of a triangle; x=y; 180-(x+y)=3x",4.MD.C.7,23
1086,"Question: Kira has $1.20 in quarters and dimes. She has minimized coins altogether. How many coins does she have?
Solution: 6 (coins)
Steps: 1.2 (dollar) * 100 (cent/dollar)/25 (cent/quarter)=4 r20; 20 (cent)/10 (cent/dime)=2 r0; 4+2=6 (coin)",5.NBT.B.7,34
1081,"Question: Farmer Singleton has a plot of tomato plants. There are 4 tomato plants in the first row, 8 tomato plants in the second row, 16 tomato plants in the third row, 32 tomato plants in the fourth row, and 64 tomato plants in the fifth row. If this pattern continues, how many tomato plants will there be in the sixth row?
Solution: 128 (tomato plants)
Steps: 4, 8, 16, 32, 64, 128",3.OA.9,17
1312,"Question: A number divided by 7 is five-fourteenth. Find the number.
Solution: 2024-05-02 00:00:00
Steps: x:The number; x/7=5/14",4.NF.B.4,27
1509,"Question: Ben draws a circle inside a square piece of paper whose area is 400 square inches. He makes sure than the circle touches each side of the square. What is the area of the circle?
Solution: 314 (square inches)
Steps: (400^(1/2)/2)*(400^(1/2)/2)*3.14=314",7.G.B.6,46
85,"Question: Isabella's hair is 18 cubes long. If her hair grows 4 more inches, how long will it be?
Solution: 22 (cubes)
Steps: 18+4=22",2.MD.B.5,3
48,"Question: Mrs. Hilt read 2 books per day. How many books did she read in one week?
Solution: 14 (books)
Steps: 2+2+2+2+2+2+2=14",2.OA.B.2,10
76,"Question: Tessa has 4 apples. Anita gave her 5 more. She needs 10 apples to make a pie. Does she have enough to make a pie?
Solution: Yes
Steps: 4+5=9 apples < 10 apples",K.CC.C.7,48
1982,"Question: During the first 6 hours of the fair there were the following number of customers: 58, 58, 62, 55, 49 and 48. What is the mean of the number of customers?
Solution: 55 (customers)
Steps: (58+58+62+55+49+48)/6=55",6.SP.P.5,42
1491,"Question: Molly and Ted built pens for their dogs. Molly made a pen 12 meters by 8 meters. Ted's pen is 15 meters by 6 meters. Who will need more fencing to build the pen?
Solution: Ted
Steps: 12*8=96(Molly) > 15*6=90(Ted)",1.NBT.B.3,0
1284,"Question: Tom used 2 batteries on his flashlights, 15 in his toys and 2 in his controllers. What's the difference between the number of Tom's batteries on flashlights and in toys?
Solution: 13 (batteries)
Steps: 15-2=13",1.OA.A.1,1
1961,"Question: A farmer planted 2 tomato seeds, 10 cucumber seeds and 3 pumpkin seeds. How many seeds did he plant all together?
Solution: 15 (seeds)
Steps: 2+10+3=15",1.OA.A.2,2
1717,"Question: If you have 2 quarters, 1 dime and 3 pennies, how much money do you have?
Solution: 0.63 (dollars)
Steps: (2 (quarter)*25 (cent/quarter) + 1 (dime)*10 (cent/dime) + 3 (penny)*1 (cent/penny))/100 (cent/dollar)= 0.63 (dollar)",2.MD.C.8,4
173,"Question: Karen wants to buy a pen that costs 75 cents. She has 2 quarters and 3 dimes. Does she have enough money?
Solution: Yes
Steps: 2*25+3*10=80 cents > 75 cents",2.NBT.A.4,5
E,"Question: The school cafeteria had 17 apples. If they used 2 to make lunch for the students and then bought 23 more, how many apples would they have?
Solution: 17-2+23=38
Steps: 17-2+23=38",2.NBT.B.5,6
